"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090005381","양주고등학교","04","공립","N","","8","233","29.1","8","244","30.5","8","213","26.6","1","9","9","0","0","0","25","699","28","49","14.3"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090005382","송우고등학교","04","공립","N","","10","221","22.1","10","241","24.1","10","229","22.9","3","21","7","0","0","0","33","712","21.6","62","11.5"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090005399","상원고등학교","04","공립","N","","9","224","24.9","9","245","27.2","9","213","23.7","0","0","0","0","0","0","27","682","25.3","53","12.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005413","성사고등학교","04","공립","N","","10","248","24.8","10","242","24.2","10","225","22.5","1","7","7","1","3","3","32","725","22.7","60","12.1"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005414","성지고등학교","04","공립","N","","12","368","30.7","12","396","33","12","345","28.8","1","9","9","0","0","0","37","1118","30.2","74","15.1"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005415","현암고등학교","04","공립","N","","8","223","27.9","8","203","25.4","8","185","23.1","0","0","0","0","0","0","24","611","25.5","46","13.3"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005416","용인홍천고등학교","04","공립","N","","12","392","32.7","13","419","32.2","13","365","28.1","2","15","7.5","0","0","0","40","1191","29.8","76","15.7"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090005417","효자고등학교","04","공립","N","","10","262","26.2","10","292","29.2","10","248","24.8","3","20","6.7","0","0","0","33","822","24.9","63","13"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090005418","고양예술고등학교","04","사립","N","","7","265","37.9","7","258","36.9","7","256","36.6","0","0","0","0","0","0","21","779","37.1","45","17.3"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090005458","대지고등학교","04","공립","N","","10","331","33.1","10","343","34.3","10","292","29.2","1","8","8","0","0","0","31","974","31.4","60","16.2"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005459","동탄고등학교","04","공립","N","","10","354","35.4","13","430","33.1","10","324","32.4","1","9","9","0","0","0","34","1117","32.9","65","17.2"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005460","안화고등학교","04","공립","N","","10","348","34.8","11","380","34.5","10","326","32.6","2","17","8.5","0","0","0","33","1071","32.5","65","16.5"
"경기도교육청","경기도화성오산교육지원청","경기도 오산시","S090005461","운암고등학교","04","공립","N","","8","269","33.6","8","244","30.5","8","226","28.3","1","7","7","0","0","0","25","746","29.8","49","15.2"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090005488","동백고등학교","04","공립","N","","10","316","31.6","10","321","32.1","10","294","29.4","1","9","9","0","0","0","31","940","30.3","60","15.7"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005576","망포고등학교","04","공립","N","","10","280","28","10","290","29","10","255","25.5","1","9","9","0","0","0","31","834","26.9","61","13.7"
"경기도교육청","경기도수원교육지원청","경기도 수원시 영통구","S090005577","매원고등학교","04","공립","N","","11","294","26.7","11","311","28.3","11","269","24.5","1","6","6","1","1","1","35","881","25.2","66","13.3"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005578","반송고등학교","04","공립","N","","10","353","35.3","11","359","32.6","10","325","32.5","0","0","0","0","0","0","31","1037","33.5","59","17.6"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005579","봉담고등학교","04","공립","N","","8","290","36.3","8","282","35.3","8","280","35","3","21","7","0","0","0","27","873","32.3","51","17.1"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시","S090005580","예당고등학교","04","공립","N","","10","350","35","11","364","33.1","10","313","31.3","1","9","9","0","0","0","32","1036","32.4","63","16.4"
"경기도교육청","경기도부천교육지원청","경기도 부천시 오정구","S090005581","수주고등학교","04","공립","N","","7","155","22.1","8","204","25.5","8","174","21.8","3","15","5","0","0","0","26","548","21.1","48","11.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005599","고양일고등학교","04","공립","N","","8","193","24.1","8","194","24.3","7","161","23","2","8","4","0","0","0","25","556","22.2","48","11.6"
