"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","8","181","22.6","8","190","23.8","8","191","23.9","1","9","9","0","0","0","25","571","22.8","50","11.4"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","8","128","16","8","124","15.5","8","127","15.9","0","0","0","0","0","0","24","379","15.8","73","5.2"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","2","22","11","2","18","9","2","24","12","0","0","0","0","0","0","6","64","10.7","23","2.8"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","3","75","25","3","73","24.3","3","95","31.7","0","0","0","0","0","0","9","243","27","30","8.1"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","2","48","24","2","49","24.5","2","46","23","0","0","0","0","0","0","6","143","23.8","15","9.5"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","10","252","25.2","10","204","20.4","10","263","26.3","0","0","0","0","0","0","30","719","24","59","12.2"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","8","155","19.4","9","155","17.2","9","182","20.2","0","0","0","0","0","0","26","492","18.9","53","9.3"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","8","177","22.1","8","180","22.5","8","175","21.9","0","0","0","0","0","0","24","532","22.2","51","10.4"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","13","318","24.5","13","305","23.5","14","338","24.1","0","0","0","0","0","0","40","961","24","76","12.6"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일관광경영고등학교","04","사립","N","","12","239","19.9","12","246","20.5","12","245","20.4","0","0","0","0","0","0","36","730","20.3","74","9.9"
"경기도교육청","경기도교육청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","12","304","25.3","11","281","25.5","12","334","27.8","0","0","0","0","0","0","35","919","26.3","68","13.5"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","9","224","24.9","9","217","24.1","9","235","26.1","2","9","4.5","0","0","0","29","685","23.6","57","12"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","8","324","40.5","8","320","40","8","326","40.8","0","0","0","0","0","0","24","970","40.4","44","22"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","5","120","24","5","115","23","5","124","24.8","0","0","0","0","0","0","15","359","23.9","28","12.8"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","10","225","22.5","10","235","23.5","10","242","24.2","0","0","0","0","0","0","30","702","23.4","59","11.9"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","8","174","21.8","8","153","19.1","8","167","20.9","1","9","9","0","0","0","25","503","20.1","59","8.5"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","11","268","24.4","12","287","23.9","13","326","25.1","3","16","5.3","0","0","0","39","897","23","74","12.1"
"경기도교육청","경기도교육청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","8","196","24.5","7","175","25","8","190","23.8","2","11","5.5","0","0","0","25","572","22.9","51","11.2"
"경기도교육청","경기도교육청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","6","116","19.3","6","124","20.7","7","121","17.3","0","0","0","0","0","0","19","361","19","41","8.8"
"경기도교육청","경기도교육청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","10","200","20","10","213","21.3","10","222","22.2","0","0","0","0","0","0","30","635","21.2","63","10.1"
"경기도교육청","경기도교육청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","8","191","23.9","7","161","23","8","174","21.8","1","2","2","0","0","0","24","528","22","46","11.5"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","4","72","18","4","66","16.5","4","69","17.3","1","7","7","0","0","0","13","214","16.5","28","7.6"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","12","329","27.4","12","282","23.5","12","311","25.9","1","5","5","0","0","0","37","927","25.1","72","12.9"
"경기도교육청","경기도교육청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","2","24","12","2","33","16.5","2","21","10.5","1","1","1","0","0","0","7","79","11.3","16","4.9"
"경기도교육청","경기도교육청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","12","358","29.8","12","343","28.6","12","349","29.1","0","0","0","0","0","0","36","1050","29.2","70","15"
"경기도교육청","경기도교육청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","N","","9","224","24.9","9","209","23.2","10","234","23.4","0","0","0","0","0","0","28","667","23.8","57","11.7"
"경기도교육청","경기도교육청","경기도 광명시","S090000482","광명고등학교","04","공립","N","","11","296","26.9","11","268","24.4","11","300","27.3","2","11","5.5","0","0","0","35","875","25","67","13.1"
"경기도교육청","경기도교육청","경기도 광명시","S090000483","경기항공고등학교","04","사립","N","","4","79","19.8","4","79","19.8","4","84","21","0","0","0","0","0","0","12","242","20.2","26","9.3"
"경기도교육청","경기도교육청","경기도 광명시","S090000484","광명북고등학교","04","공립","N","","11","288","26.2","11","263","23.9","12","316","26.3","3","16","5.3","1","2","2","38","885","23.3","71","12.5"
"경기도교육청","경기도교육청","경기도 광명시","S090000487","명문고등학교","04","공립","N","","11","282","25.6","11","265","24.1","12","315","26.3","1","4","4","0","0","0","35","866","24.7","66","13.1"
"경기도교육청","경기도교육청","경기도 광명시","S090000488","창의경영고등학교","04","공립","N","","8","98","12.3","9","117","13","10","135","13.5","2","12","6","0","0","0","29","362","12.5","65","5.6"
"경기도교육청","경기도교육청","경기도 광명시","S090000489","광문고등학교","04","공립","N","","11","292","26.5","11","262","23.8","11","256","23.3","1","7","7","0","0","0","34","817","24","67","12.2"
"경기도교육청","경기도교육청","경기도 광주시","S090000490","광주고등학교","04","공립","N","","12","329","27.4","9","224","24.9","11","259","23.5","1","3","3","0","0","0","33","815","24.7","65","12.5"
"경기도교육청","경기도교육청","경기도 광주시","S090000492","곤지암고등학교","04","공립","N","","8","145","18.1","5","100","20","7","127","18.1","1","4","4","0","0","0","21","376","17.9","41","9.2"
"경기도교육청","경기도교육청","경기도 광주시","S090000493","광주중앙고등학교","04","공립","N","","14","408","29.1","14","368","26.3","14","392","28","3","22","7.3","0","0","0","45","1190","26.4","90","13.2"
"경기도교육청","경기도교육청","경기도 파주시","S090000494","광탄고등학교","04","사립","N","","4","96","24","4","89","22.3","4","90","22.5","1","3","3","0","0","0","13","278","21.4","26","10.7"
"경기도교육청","경기도교육청","경기도 구리시","S090000496","구리고등학교","04","공립","N","","8","198","24.8","8","185","23.1","9","226","25.1","0","0","0","0","0","0","25","609","24.4","48","12.7"
"경기도교육청","경기도교육청","경기도 구리시","S090000497","구리여자고등학교","04","공립","N","","8","185","23.1","8","183","22.9","9","216","24","1","3","3","0","0","0","26","587","22.6","52","11.3"
"경기도교육청","경기도교육청","경기도 시흥시","S090000499","군자디지털과학고등학교","04","공립","N","","8","123","15.4","8","125","15.6","8","114","14.3","2","11","5.5","2","6","3","28","379","13.5","58","6.5"
"경기도교육청","경기도교육청","경기도 군포시","S090000502","군포고등학교","04","사립","N","","11","295","26.8","11","276","25.1","11","285","25.9","0","0","0","0","0","0","33","856","25.9","63","13.6"
"경기도교육청","경기도교육청","경기도 군포시","S090000504","군포e비즈니스고등학교","04","공립","N","","9","152","16.9","9","116","12.9","12","194","16.2","2","12","6","2","6","3","34","480","14.1","74","6.5"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000505","권선고등학교","04","공립","N","","12","325","27.1","12","295","24.6","13","342","26.3","3","22","7.3","0","0","0","40","984","24.6","76","12.9"
"경기도교육청","경기도교육청","경기도 안양시 만안구","S090000507","근명고등학교","04","사립","N","","10","220","22","10","218","21.8","10","209","20.9","0","0","0","0","0","0","30","647","21.6","64","10.1"
"경기도교육청","경기도교육청","경기도 남양주시","S090000508","금곡고등학교","04","공립","N","","12","287","23.9","12","257","21.4","12","266","22.2","0","0","0","0","0","0","36","810","22.5","72","11.3"
"경기도교육청","경기도교육청","경기도 용인시 기흥구","S090000509","기흥고등학교","04","공립","N","","10","315","31.5","11","293","26.6","11","298","27.1","1","7","7","0","0","0","33","913","27.7","64","14.3"
"경기도교육청","경기도교육청","경기도 김포시","S090000510","김포고등학교","04","공립","N","","11","373","33.9","10","317","31.7","10","315","31.5","1","1","1","0","0","0","32","1006","31.4","61","16.5"
"경기도교육청","경기도교육청","경기도 김포시","S090000511","김포과학기술고등학교","04","공립","N","","8","182","22.8","8","192","24","8","173","21.6","1","5","5","0","0","0","25","552","22.1","55","10"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000515","낙생고등학교","04","사립","N","","10","274","27.4","10","243","24.3","10","274","27.4","0","0","0","0","0","0","30","791","26.4","58","13.6"
"경기도교육청","경기도교육청","경기도 양주시","S090000517","한국외식과학고등학교","04","사립","N","","4","94","23.5","4","95","23.8","4","86","21.5","0","0","0","0","0","0","12","275","22.9","23","12"
"경기도교육청","경기도교육청","경기도 화성시","S090000518","남양고등학교","04","공립","N","","7","205","29.3","7","170","24.3","7","171","24.4","1","8","8","1","1","1","23","555","24.1","45","12.3"
"경기도교육청","경기도교육청","경기도 남양주시","S090000519","남양주고등학교","04","공립","N","","7","117","16.7","8","115","14.4","7","105","15","1","9","9","0","0","0","23","346","15","48","7.2"
"경기도교육청","경기도교육청","경기도 하남시","S090000520","남한고등학교","04","공립","N","","8","229","28.6","8","200","25","8","211","26.4","2","8","4","0","0","0","26","648","24.9","50","13"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000521","능곡고등학교","04","공립","N","","11","265","24.1","11","236","21.5","12","275","22.9","0","0","0","0","0","0","34","776","22.8","66","11.8"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000524","대부고등학교","04","공립","N","","2","17","8.5","1","18","18","2","21","10.5","2","5","2.5","1","4","4","8","65","8.1","17","3.8"
"경기도교육청","경기도교육청","경기도 여주시","S090000525","대신고등학교","04","사립","N","","3","79","26.3","3","78","26","3","84","28","1","7","7","0","0","0","10","248","24.8","18","13.8"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000527","대평고등학교","04","공립","N","","10","271","27.1","10","235","23.5","11","268","24.4","1","5","5","0","0","0","32","779","24.3","63","12.4"
"경기도교육청","경기도교육청","경기도 부천시 오정구","S090000528","덕산고등학교","04","공립","N","","8","200","25","8","186","23.3","9","189","21","1","4","4","1","1","1","27","580","21.5","50","11.6"
"경기도교육청","경기도교육청","경기도 남양주시","S090000529","덕소고등학교","04","사립","N","","12","351","29.3","12","356","29.7","12","361","30.1","0","0","0","0","0","0","36","1068","29.7","72","14.8"
"경기도교육청","경기도교육청","경기도 양주시","S090000532","덕정고등학교","04","공립","N","","9","253","28.1","9","240","26.7","9","278","30.9","2","9","4.5","0","0","0","29","780","26.9","57","13.7"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000533","도당고등학교","04","공립","N","","9","215","23.9","9","208","23.1","9","227","25.2","1","5","5","0","0","0","28","655","23.4","54","12.1"
"경기도교육청","경기도교육청","경기도 포천시","S090000534","동남고등학교","04","사립","N","","10","229","22.9","10","228","22.8","10","236","23.6","1","6","6","0","0","0","31","699","22.5","60","11.7"
"경기도교육청","경기도교육청","경기도 동두천시","S090000536","동두천고등학교","04","사립","N","","5","134","26.8","5","119","23.8","5","126","25.2","0","0","0","0","0","0","15","379","25.3","30","12.6"
"경기도교육청","경기도교육청","경기도 동두천시","S090000538","한국문화영상고등학교","04","사립","N","","6","131","21.8","6","125","20.8","8","169","21.1","0","0","0","0","0","0","20","425","21.3","42","10.1"
"경기도교육청","경기도교육청","경기도 동두천시","S090000539","동두천중앙고등학교","04","공립","N","","7","156","22.3","7","124","17.7","6","138","23","2","13","6.5","1","4","4","23","435","18.9","46","9.5"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000541","동안고등학교","04","공립","N","","13","356","27.4","13","314","24.2","13","329","25.3","0","0","0","0","0","0","39","999","25.6","75","13.3"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000542","동우여자고등학교","04","사립","N","","10","255","25.5","11","251","22.8","12","272","22.7","0","0","0","0","0","0","33","778","23.6","64","12.2"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000543","동원고등학교","04","사립","N","","11","267","24.3","12","271","22.6","13","317","24.4","0","0","0","0","0","0","36","855","23.8","69","12.4"
"경기도교육청","경기도교육청","경기도 평택시","S090000544","동일공업고등학교","04","사립","N","","10","261","26.1","10","260","26","10","284","28.4","0","0","0","0","0","0","30","805","26.8","66","12.2"
"경기도교육청","경기도교육청","경기도 남양주시","S090000545","동화고등학교","04","사립","N","","15","444","29.6","15","379","25.3","15","393","26.2","0","0","0","0","0","0","45","1216","27","87","14"
"경기도교육청","경기도교육청","경기도 화성시","S090000546","두레자연고등학교","04","사립","N","","2","40","20","2","38","19","2","35","17.5","0","0","0","0","0","0","6","113","18.8","15","7.5"
"경기도교육청","경기도교육청","경기도 이천시","S090000548","마장고등학교","04","공립","N","","3","66","22","3","56","18.7","3","29","9.7","0","0","0","0","0","0","9","151","16.8","19","7.9"
"경기도교육청","경기도교육청","경기도 수원시 팔달구","S090000552","매향여자정보고등학교","04","사립","N","","12","249","20.8","12","265","22.1","12","300","25","0","0","0","0","0","0","36","814","22.6","75","10.9"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000553","무원고등학교","04","공립","N","","11","260","23.6","11","236","21.5","12","259","21.6","2","12","6","0","0","0","36","767","21.3","69","11.1"
